producto,categoria,seccion,linea,abastecimiento,negocio
TOFFEE BAÑADO AMBROSOLI 300 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"JALEA NESTLE 110GR, FRAMBUESA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ALIMENTO PERRO CACHUPIN 18 KILOS.,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
BARRA CARAMELO HOBBY 40 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PH CONFORT DH 30MT X 4,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
LOMITO KETCHUP CON ARROZ POR GUSTO 250GR,COMIDAS TERCEROS PLATOS PREPARADOS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
"YOGHURT BATIDO SURLAT KIDS 125 GRS, MORA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA DELI COOKIE CLASICA COSTA B130GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESO CHEDDAR TROZO SOPROLE 350 GR,QUESOS ESPECIALES ENVASADOS,QUESOS Y HUEVOS,QUESOS ESPECIALES,Directo,PERECIBLES
"YOGHURT DELI DANONE LIGH, PIE DE MANZANA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA AVENA CHOCOLATE FRUTOS BC 162 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"CHANDELLE NESTLE 130GR., MANJAR",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA CEREAL MIX BERRI LIGTH 115 GRS,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCOLATE BARRITA MENTA ORLY 25 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAÑAL JUEGOS Y SUEÑOS XXG PAMPERS 30 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
PAÑAL BABYSEC PREMIUM G 36 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
PAVO PIMIENTO PF 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
RAMITAS QUESO MERKAT 270G,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA SUAZO 40 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GUAGUAS PELAYO 50 UN 200 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CEBOLLIN BOLSA 3 UN.,BULBOS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
YOG. BATIFRUT AMERICANO MORA 155 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
HARINA C/POLVO MERKAT 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GOMITAS FRUGELE AMBROSOLI 430 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CORBATA LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BISTEC DE PAVO S/H S/P 800 GR. IQF,PAVO ENVASADO,CARNES,PAVO,Directo,PERECIBLES
BEB ENERGETICA MR BIG ENERGY DRINK 2 LT,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PH CONFORT ALMACENERO UH 50MT,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
"YOGHURT BATIDO SURLAT KIDS 125, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MASCARRONI CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CABALLA AL NATURAL ATLAS 425 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAÑAL ADULTO PLUS M COTIDIAN 8 UN,PANAL ADULTO,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
MANZANA FUJI KILO,POMACEAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
DURAZNO EN TROCITO ACONCAGUA 425 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ACEITE VEGETAL MIRAFLORES 1 LT,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MOSTACCIOLIS PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOG.+CEREAL C/CUCHARA NESTLE 1, CHOCAPIC",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LAVALOZAS LIMON QUIX 750 ML,LAVALOZAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CABALLA MERKAT 425 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT BATIDO SURLAT KIDS 12, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ENSALADA PRIMAVERA F.DEL MAIPO 1 KG,VERDURAS CONGELADAS,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
COLONIA SPIDERMAN GELATTI KIDS 220 ML,PERFUMERIA KIDS,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
PACK FLAN VAINILLA NESTLE 4X110 GRS,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
HARINA C/POLVO SELECTA 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SALSA DOYPACK PK.6X200GR 6 UN,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LAMINA FRITAS QUESO KRYZPO 40G,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PECHUGA DE PAVO ASASA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ESPIRALES PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHORIZO PARRILLERO PF 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARVEJAS BANQUETE 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DIENTE DRAGON BANDEJA 250 GRS,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
"YOGHURT 1+1 SIN LACTOSA 135 G, ZUCARITAS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MANZANA ROYAL GALA KG,POMACEAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
"MANJARATE SOPROLE 80 GR, BLACK",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PAPA FRITA PIZZA KRYZPO 80 GRS.,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA CHIPS CHOC/NAR BE COOKIES 162 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESO GAUDA LAM RUMAY KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
MALVAS CHOCOLATE YUPANQUI 40 UN,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAÑAL BABYSEC ULTRA XG 28UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
GALLETA OBSESION COSTA 85 GRS,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HUEVITOS EASTER COLOMBINA DOY PACK 186GR,CONFITES DE TEMPORADA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MANÍ SALADO SABU 180 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA SUAZO S/P 3KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
HARINA DON QUIJOTE S/POLVOS 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
HARINA SEMBRADOR SIN POLVO KILO,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT YOGU-YOGU CAJA. 200 CC, MORA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
"YOGHURT SOPROLE BATIFRUT 165 GR, MORA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LONGANIZA TIL 1 KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
POMAROLA SACHET PACK 6X200,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
QUESO GAUDA CALO KILO,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
TRUTRO CUARTO 2.5 KG CONG PERDUE,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
LECHE POLVO SEMIDESC CRECER 4+CALO 800GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
COCA COLA DESECHABLE 591 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MASTICABLE FRUTA SURTIDO ARCOR 800 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
DEO ANT CREMA CLASICO ETIQUET 60 GR,DESODORANTE,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
"YOGHURT SOPROLE GOLD 165 G, STRACCIATELA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LONGANIZA SAN JORGE 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CEREAL CHOCOLATADO MERKAT 700 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
COPPA MOLDE WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA PAVO AHUMADA KING 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MORTADELA DE POLLO SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHILENOS INDIVIDUAL YUPANQUI 20 UN,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
"LECHE SHAKE SHAKE 170 ML LONCO, FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
"YOGHURT ACTIVIA ZERO 120 GR., FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MALVA FRUIT CALAF 250 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA S/POLVO MONT BLANC 5 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"LECHE CALAN  200 ML, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
KEM XTREME DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MARSHMALLOWS DULFINOS 500 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LECHE UHT ENTERA PARMALAT 1 LT,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
POROTOS HALLADOS BANQUETE 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TABLETA ARCOR LECHE DOS EN UNO 140 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ASIENTO VAC GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
YOGHURT SIN LACTOSA FRUTILLA CALAN 110GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MEDIALUNA LAF 5 UN,PASTELERIA SECA,PASTELERIA,PASTELERIA FRESCA,Directo,PRODUCCION
YOGHURT SIN LACTOSA CHIRIM CALAN 110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MANZANA VERDE KILO,POMACEAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
PAÑAL BABYSEC PLUS XG 24 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
DETERGENTE LIRIOS Y ROSAS RINSO 2.7KG.,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MOSTACCIOLI CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CONTRE DESGRASADO SUPERPOLLO BDJA 600 GR,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
"YOGHURT SEMIDES CALAN 110GR, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CARAMELO BUTTER TOFFE SURTIDO 464 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CLORO CLORINDA 2 LT,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
"CHIQUITIN NESTLE 45 GR, DAMASCO",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
HARINA TAHONA 10KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GOMITAS DE GUAGUITA AMBROSOLI 80 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON SANDWICH TIL,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LIMP P.FLOT EXCELL LAVANDA 900CC,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PASTA DENTAL NEUTRAZUCAR COLGATE 180 GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
SALSA TOMATE ITALIANA DOÑA CLARA 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LENTEJAS 6 MM PRODUCTOS DIAZ 500 GR,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"CARBON MIX ARRIERO 2,5 KG",CARBON,ENTRETENCION,TIEMPO LIBRE,Centralizado,NON FOOD
"CHANDELLE NESTLE 130GR., LUCUMA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PAPAS FRITAS AMERICANAS LAYS 250 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
POSTA PALETA VACUNO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
"JALEA NESTLE 110GR, GUINDA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CERVEZA SAN JORGE 1 KILO.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ESCALOPA POLLO IQF ARIZTIA 650 GR,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
SPAGHETTI Nº5 CAROZZI 1 KG,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SALSA TOMATE ITALIANA MALLOA 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CODOS PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LECHE ASADA SOPROLE 120 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MAGDALENAS TRES LECHES BUENAS MIGAS 9UN,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
JUREL AL NATURAL COLORADO 425GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPAS FRITAS LISAS MERKAT 320G,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 120 GR., VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA MOROCHA MINI GALLETA MCKAY 50 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PLATEADA VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
DURAZNO EN MITAD ACONCAGUA 590 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"LECHE SHAKE SHAKE 170 ML LONCO, VAINILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
NESCAFE TRADICION STICK 172.8 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CARNE AL JUGO CON ARROZ POR GUSTO 250 GR,COMIDAS TERCEROS PLATOS PREPARADOS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
"YOGHURT ACTIVIA ZERO S/LACT 120, CIRUELA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CAFE DESCAFEINADO GOLD 170 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 120 GR, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LAMINAS FRITAS CREMA CEBOLLA KRYZPO 40GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
NESCAFE MIXES CAPPUCINO 14 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HUEVO BON O BON LECH 110 GRS,CONFITES DE TEMPORADA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPA LAYS FRITA T/AMER 420 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCOLATE CONFITADO ROCKLETS 35 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PASTA TR3S ESPIRAL 56 LUCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"LECHE SOPROLE 200 CC., FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
HARINA S/POLVO MERKAT 20 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT TRO LIGHT DANONE, MANGO MARACUYA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESO DE CABEZA TRIPA NATURAL PACEL KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CALUGON CLASICO C/NUECES PELAYO 920 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MECANO MANJAR COSTA 27 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT 1+1 PARA LLEVAR SOPRO, ZUCARITAS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DURAZNO EN MITAD MERKAT 590 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA SEMI BANADA RIGOCHOC DEU 113 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CABELLOS DE ANGEL Nº1 CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MAMADERA BOCA ANCHA SIMONDS 260 ML,ACCESORIOS BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
RAMITAS SALADAS MERKAT 270G,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PACK JALEA LIGHT FRUTILLA NESTLE 4X110GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGURT BOLS S/LACT ACTIVIA 1 K, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PECHUGA PAVO COCIDA KING 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LECHE CONDENSADA NESTLE SUR TR 397 GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON PAVO AHUMADO SOPRAVAL 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MARGARINA LIGHT POTE CALO 500 GR,MARGARINA LIGHT,LACTEOS,MARGARINA,Directo,PERECIBLES
JUREL NATURAL NAVEGANTE 425 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIM PERRO CARNE&VEGETALES PEDIGREE 15K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
ESPIRALES MERKAT 1 KG,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MORTADELA ALEMANA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JAMON PIERNA RECETA DEL ABUELO 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CORN FLAKES MERKAT 700 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FIDEOS MOSTACHOLI 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AZUCAR IANSA DOY PACK 3 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHI JIRAFA BAZOOKA X50 TUTTI,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
VIENESA DE POLLO TIL 900 GRS,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
VINO TTO CLOS DE PIRQUE 2LT CAJA,VINOS CAJA,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
CHOCOLATE MAZAPAN COSTA 105 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
VIENESA PAVO SAN JORGE 250GRS,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
BEBIDA LACTEA NATURAL SUPER CALO 1LT,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
CALUGON CLASICO C/NUECES PELAYO 500 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MAYONESA LIGHT HELLMANNS SACHET 95 GR,MAYONESAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LIMON MALLA 1 KILO,CITRICO,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
LOMO LISO VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
GALLETA TODDY 210 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ARROZ PREGRANEADO BANQUETE 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"GALLETA NIK COSTA 71GR, BOCADO",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TRUTRO ALA POLLO ARIZTIA 750 GR,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
"YOGHURT ZERO LACTO TROZOS SOPR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MARGARINA SUREÑA POTE 500 GRS,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
PASTA TR3S RIGATTI 48 LUCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ CON LECHE SOPROLE 130 GR.,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
EST COLONIA SOY LUNA GELATTI 220 ML,PERFUMERIA KIDS,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
JALEA SOPROLE PIÑA 100 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT 1+1 SOPROLE 140 GR., CHOC KRISP",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PLATEADA VACUNO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
TE YELLOW LABEL LIPTON 20 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT BATIDO SVELTY 120 GRS, NATURAL",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ACEITE VEGETAL CRISTAL 900 CC,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SALCHICHON CERVEZA PAVO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
YOGUR SEMIDES VAINILLA CARS CALAN 110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
NARANJA KG.,CITRICO,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
POROTOS HALLADOS PRODUCTOS DIAZ 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TE CEYLAN SUPREMO SUPERIOR 500 GR,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ACEITE MARAVILLA MIRAFLORES 1 LT,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DURAZNO EN TROCITO EL VERGEL 425 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANI SALADO EVERCRISP 180 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CAFE MOKA GOLD 19 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HUACHALOMO VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
MOSTACHOLI LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALMENDRAS BAÑADAS SAHNE NUSS 120 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
